gene_name	log2(fold_change)	p_value
dally	3,06445	5,00E-05
CG9631	3,06428	5,00E-05
Idgf1	3,06353	0,0008
eya	3,06318	5,00E-05
wat	3,06158	5,00E-05
CG17739	3,06082	5,00E-05
CG8216	3,06053	5,00E-05
rdo	3,05956	5,00E-05
CR43417	3,05922	5,00E-05
Ugt86Dd	3,05467	5,00E-05
CG16820	3,05268	0,00055
Ugt86Dc	3,05257	0,0036
CG6959	3,05256	5,00E-05
robo2	3,05073	0,00455
CG31663	3,0466	5,00E-05
CG17124	3,04449	5,00E-05
ASPP	3,04314	5,00E-05
comm2	3,0405	5,00E-05
fng	3,0405	5,00E-05
CG3829	3,03942	0,0005
CG6749	3,03906	5,00E-05
dpr7	3,03575	5,00E-05
Cyp4d8	3,03566	0,00035
CG10570	3,03516	5,00E-05
nAChRbeta1	3,035	5,00E-05
Cdep	3,03182	5,00E-05
Ncc69	3,02952	5,00E-05
yip7	3,02864	5,00E-05
Cyp6a17	3,02465	0,00385
Nplp2	3,02336	5,00E-05
slow	3,0229	5,00E-05
Hk	3,02254	5,00E-05
CR44832	3,02111	5,00E-05
Pde1c	3,02079	0,00055
lz	3,01961	5,00E-05
CG13155	3,01897	0,00035
twi	3,01715	0,00885
CG15784	3,01695	5,00E-05
Cyt-b5-r	3,01632	5,00E-05
MFS3	3,01382	0,00035
CG12269	3,01087	0,0003
robo1	3,00714	5,00E-05
dsb	3,00671	5,00E-05
sick	3,00612	5,00E-05
CG44476	3,00545	0,0006
CG4596	3,00369	0,0004
CheA87a	3,00309	5,00E-05
CR44961	3,00274	0,0022
CG13912	3,0009	5,00E-05
Gel	3,00009	5,00E-05
CG13794	2,99859	5,00E-05
Ppa	2,99781	5,00E-05
Pask	2,99211	0,00015
elB	2,98907	5,00E-05
tsl	2,98867	5,00E-05
CG14400	2,98633	0,00515
CR43250	2,98537	0,00445
CG33281	2,98506	5,00E-05
CG5171	2,98151	5,00E-05
bnl	2,98064	5,00E-05
CG14567	2,98046	5,00E-05
CDase	2,97847	5,00E-05
CG3328	2,97734	5,00E-05
CG12268	2,97721	5,00E-05
CG5065	2,97537	5,00E-05
Cyp6a20	2,97347	5,00E-05
Fas3	2,97299	5,00E-05
CG9850	2,97259	0,00455
CG42747	2,97185	0,00265
Npc2g	2,97142	5,00E-05
CG18003	2,96917	5,00E-05
CG4328	2,96908	0,0057
zfh2	2,96813	0,003
CG1889	2,96699	5,00E-05
CG1213	2,96597	5,00E-05
Msr-110	2,96569	5,00E-05
otp	2,96506	5,00E-05
nec	2,9644	5,00E-05
CG5835	2,96406	5,00E-05
CG5361	2,96355	0,00045
CG33203	2,96211	0,0001
PH4alphaEFB	2,95955	5,00E-05
CG2070	2,95784	5,00E-05
Cyp4g15	2,95733	5,00E-05
Glt	2,95594	5,00E-05
CG10361	2,95574	0,0003
CR31451	2,95535	5,00E-05
CG30015	2,95346	5,00E-05
CG13003	2,95339	5,00E-05
CG10132	2,95298	0,0024
Gp150	2,95269	5,00E-05
CG31690	2,95138	5,00E-05
Gat	2,9492	0,0001
Oatp74D	2,94751	5,00E-05
Tusp	2,94729	5,00E-05
sim	2,9471	5,00E-05
CG14132	2,94578	0,0003
CG13056	2,94549	0,0132
GABA-B-R2	2,94307	5,00E-05
fkh	2,94277	5,00E-05
CG14015	2,93952	0,0003
sens-2	2,93818	5,00E-05
CG11147	2,93541	5,00E-05
Ets98B	2,93395	5,00E-05
Tsf1	2,93393	5,00E-05
CG5375	2,93322	5,00E-05
IM33	2,92968	5,00E-05
NtR	2,92897	5,00E-05
Slc45-1	2,9278	5,00E-05
CG31810	2,92608	0,00705
comm	2,92595	5,00E-05
corn	2,92564	5,00E-05
CG11340	2,92547	0,0002
CG14933,CG42486	2,92456	0,00055
CG6847	2,92286	0,0004
CG2254	2,92271	5,00E-05
Act57B	2,92207	5,00E-05
wtrw	2,9216	0,00455
CG34208	2,92109	0,0047
CG9497	2,91877	5,00E-05
SPR	2,91701	5,00E-05
CG15414	2,91669	0,0008
CG9164	2,9163	0,0002
Cad74A	2,91455	0,0001
Cyp28a5	2,91411	5,00E-05
CG6503	2,91371	5,00E-05
CS-2	2,91276	5,00E-05
CG11951	2,91274	0,0002
CG17190	2,90856	0,00145
Cyp9f2	2,9085	5,00E-05
CG30002	2,90835	0,00245
CG3253	2,9083	0,0053
CG15365	2,90823	5,00E-05
TrpA1	2,90789	5,00E-05
CG9747	2,90679	5,00E-05
CG1673	2,90434	5,00E-05
GC	2,90272	0,02655
CG31205	2,90235	0,0001
CG31286	2,89779	0,00015
CG5107	2,89728	5,00E-05
rn	2,89545	5,00E-05
CG13067	2,89534	0,00085
CG9400	2,89512	0,00015
Antp	2,89509	5,00E-05
Fas2	2,89495	5,00E-05
CG33966	2,89471	0,0036
DNaseII	2,89399	5,00E-05
mirr	2,89229	5,00E-05
CG34043	2,89131	5,00E-05
CG9689	2,89044	0,00015
ninaE	2,88989	5,00E-05
CG30089	2,88904	5,00E-05
Awh	2,88728	0,00105
CG31321	2,88429	0,0002
CG6465	2,88409	5,00E-05
CG6723	2,88223	0,006
Cyp308a1	2,88206	0,0296
CG40498	2,88192	5,00E-05
CG13654	2,88151	0,0005
Cyp4d1	2,88107	0,0001
CR45281	2,88066	0,0001
CG13284	2,87997	5,00E-05
ImpL2	2,87889	5,00E-05
CG10513	2,87873	5,00E-05
caps	2,87801	5,00E-05
CG13311	2,87609	0,00025
Cat	2,87427	5,00E-05
CR44640	2,87313	0,0114
CG6495	2,86545	5,00E-05
daw	2,86517	5,00E-05
CG32647	2,86459	5,00E-05
CG15385	2,86432	5,00E-05
CG32687	2,86323	5,00E-05
Sh	2,86293	5,00E-05
Xrp1	2,86107	5,00E-05
psh	2,86088	5,00E-05
CG14629	2,86007	0,00035
CG10623	2,85976	5,00E-05
CG17751	2,85974	0,00655
AstA-R2	2,85847	0,0006
CG7203	2,85739	5,00E-05
Tsp42Ec	2,85716	5,00E-05
CG17321	2,85706	5,00E-05
tna	2,85642	5,00E-05
CG31326	2,85598	5,00E-05
CG3690	2,85561	5,00E-05
CG32032	2,85413	5,00E-05
Rcd2	2,85267	5,00E-05
CG15742,mew	2,85122	5,00E-05
CG2680	2,85016	5,00E-05
CG13428	2,84869	5,00E-05
sty	2,84779	5,00E-05
sli	2,84734	5,00E-05
Jon99Ci	2,84702	5,00E-05
NAAT1	2,84457	5,00E-05
uif	2,84047	5,00E-05
srp	2,83861	5,00E-05
AstA	2,83847	5,00E-05
CG16826	2,83754	5,00E-05
alpha-Est7	2,83681	5,00E-05
Tig	2,83475	5,00E-05
CG1136	2,83473	5,00E-05
CG15201	2,83373	5,00E-05
scaf	2,83325	5,00E-05
grh	2,83304	5,00E-05
CG6290	2,83024	0,00745
ci	2,82849	5,00E-05
Lsd-1	2,82828	5,00E-05
knrl	2,82802	5,00E-05
rtp	2,82762	0,0068
shakB	2,82698	5,00E-05
CG33285,ko	2,82689	5,00E-05
LManI	2,8267	0,00045
beat-VII	2,82606	5,00E-05
DIP-eta	2,82504	0,0005
CG3699	2,82424	5,00E-05
CG6040	2,82349	5,00E-05
CG3168	2,82267	5,00E-05
Ac76E	2,8188	5,00E-05
PPO2	2,81832	5,00E-05
Tmhs	2,81511	5,00E-05
trol	2,81315	5,00E-05
CG10512	2,81199	5,00E-05
kar	2,81116	5,00E-05
CG32333	2,81048	5,00E-05
CG16836	2,80991	5,00E-05
Tequila	2,8099	5,00E-05
Oct-TyrR	2,80909	0,0002
Mrp4	2,80709	5,00E-05
bowl	2,80587	5,00E-05
CG42342	2,80433	5,00E-05
Liprin-gamma	2,80047	5,00E-05
Cad96Ca	2,80035	0,00045
CG13833	2,80002	5,00E-05
Gbeta76C	2,79998	5,00E-05
CG18746	2,79996	0,00805
CG5778	2,79938	5,00E-05
CG2781	2,79915	5,00E-05
PGRP-SC2	2,79891	5,00E-05
Cyp9b2	2,79868	5,00E-05
CG11317	2,79591	5,00E-05
Os-C	2,7953	5,00E-05
CG17549	2,79421	5,00E-05
qvr	2,79156	5,00E-05
CG41520	2,7905	5,00E-05
frma	2,78955	5,00E-05
alpha-Est9	2,78715	5,00E-05
CG11892	2,786	5,00E-05
Irc	2,78496	5,00E-05
CG12310,CG18581,CG43679	2,78448	0,00025
CCHa1-R	2,78443	0,0044
Glut4EF	2,7842	5,00E-05
Gld	2,78379	5,00E-05
Peritrophin-15a	2,78246	5,00E-05
CR43259	2,78218	0,01465
Muc11A	2,78096	5,00E-05
hiw	2,78033	0,0001
Cyp6a14	2,77992	0,00035
htl	2,77911	5,00E-05
Oamb	2,77908	5,00E-05
Kr-h1	2,77875	5,00E-05
CG4607	2,77717	5,00E-05
Ahcy89E	2,77714	5,00E-05
Ndg	2,77593	5,00E-05
nrm	2,77573	5,00E-05
CG31106	2,77569	5,00E-05
Octbeta3R	2,77564	5,00E-05
peb	2,77526	5,00E-05
CG14277	2,77359	5,00E-05
Cyp9b1	2,77263	0,0003
dpy	2,77241	5,00E-05
CG7695	2,77001	0,00025
Tep2	2,76959	5,00E-05
Mgat2	2,7678	5,00E-05
Obp19a	2,76664	0,00575
CG34398	2,76452	5,00E-05
5-HT2A	2,76088	5,00E-05
Inx3	2,7605	0,00025
DIP-beta	2,75952	0,0001
sosie	2,75828	5,00E-05
CG9279	2,75713	5,00E-05
CG31743,CG34313	2,7564	5,00E-05
CG6055	2,75581	0,00015
CG43402	2,75485	0,00055
rols	2,75288	5,00E-05
CG3164	2,75208	5,00E-05
Cyp28d1	2,75004	5,00E-05
CG10137	2,7467	0,00045
Pvr	2,74562	5,00E-05
CG34462	2,74537	0,00055
vri	2,74466	5,00E-05
CG3588	2,7427	0,02275
Lim1	2,74216	5,00E-05
Rbp9	2,74088	5,00E-05
zormin	2,73872	5,00E-05
CG7300	2,73824	5,00E-05
Pxn	2,737	5,00E-05
CG9664	2,73599	5,00E-05
Blimp-1	2,73581	5,00E-05
CG8630	2,7351	5,00E-05
CG13793	2,73328	0,00095
rdgC	2,73316	5,00E-05
ptc	2,73191	5,00E-05
CG15661	2,73158	5,00E-05
Cad99C	2,7312	0,00355
CR45601	2,73109	5,00E-05
GNBP2	2,72999	5,00E-05
CG9008	2,72833	5,00E-05
CG17646	2,72823	5,00E-05
CG42833	2,72699	0,00015
Mal-A2	2,72681	5,00E-05
CG31324	2,72609	5,00E-05
ogre	2,72419	5,00E-05
dpr14	2,7238	5,00E-05
Spn28Dc	2,72331	5,00E-05
CG31874,Sur	2,72322	0,0002
Fie	2,72293	0,0002
sr	2,72259	5,00E-05
CG10345	2,72187	5,00E-05
CG8093	2,71739	0,00185
CG45057	2,71608	5,00E-05
CCHa2	2,71522	5,00E-05
ST6Gal	2,7141	0,0001
CG3270	2,71358	0,00125
CG4335	2,71111	0,0177
Esyt2	2,71082	5,00E-05
CG14500	2,7107	0,0076
frac	2,70999	5,00E-05
CG14257	2,70592	5,00E-05
CG32573,CG42512	2,70586	0,0065
CG32833,CG32834,CG9897	2,70503	0,0004
CG16791	2,70309	5,00E-05
CG5867	2,7012	5,00E-05
CG3604	2,69834	5,00E-05
bru-2	2,69644	5,00E-05
gce	2,69512	5,00E-05
CG11069	2,69478	0,0003
CG30196	2,69418	0,0147
Best2	2,69388	5,00E-05
CG11391	2,69309	0,002
CG4019	2,69234	5,00E-05
CG11353	2,69151	5,00E-05
Dll	2,68998	0,0001
CG31380	2,68847	0,00045
tau	2,68825	5,00E-05
Cadps	2,68746	5,00E-05
h	2,68732	5,00E-05
CG17843	2,68242	0,00095
CG32944	2,68147	5,00E-05
Lst	2,67921	5,00E-05
Eaat2	2,67716	5,00E-05
iotaTry	2,67698	0,0001
CG3868	2,67531	5,00E-05
AttB	2,67509	0,00025
bond	2,67308	5,00E-05
CG17323	2,67023	5,00E-05
CG31997	2,66942	5,00E-05
Ptp36E	2,66938	5,00E-05
CG17121	2,66714	5,00E-05
Ser7	2,66567	5,00E-05
betaTub97EF	2,66541	5,00E-05
CG11438	2,66328	0,0003
Clk	2,66291	5,00E-05
Ugt36Bc	2,66213	5,00E-05
nahoda	2,66204	5,00E-05
CG5404	2,66199	0,0016
E(spl)m3-HLH	2,66052	0,0001
trp	2,66035	5,00E-05
Pdp1	2,65932	5,00E-05
Gs2	2,65861	5,00E-05
CG4847	2,65806	5,00E-05
Cpr49Ab	2,65614	5,00E-05
CG9427	2,65607	5,00E-05
CG14439	2,65605	5,00E-05
CG32082	2,65104	5,00E-05
CG8837	2,64942	5,00E-05
CG43078	2,64785	5,00E-05
tup	2,64752	5,00E-05
CG30495	2,64485	5,00E-05
CG10178	2,64393	5,00E-05
tnc	2,64176	5,00E-05
moody	2,64165	0,0261
CG30285	2,64077	5,00E-05
ndl	2,64077	0,0028
CG34301	2,64023	0,00665
Ance-5	2,64009	5,00E-05
Ilp8	2,63971	0,01515
CG9270	2,63955	0,0002
CG6867	2,63926	0,0009
kni	2,63727	5,00E-05
NPFR	2,63613	5,00E-05
p130CAS	2,63592	5,00E-05
Hsp67Bc	2,63571	0,0223
CG12581	2,6346	5,00E-05
vanin-like	2,634	5,00E-05
Ance	2,63377	5,00E-05
wgn	2,63181	5,00E-05
CG31097	2,63112	0,0013
CG11529	2,63021	0,00395
CG15406	2,62883	5,00E-05
CG1092	2,6284	0,00105
AdamTS-A	2,62782	5,00E-05
OS9	2,62697	0,0005
Fbxl7	2,62536	0,00025
Obp18a	2,62529	0,0003
CG34454	2,62442	5,00E-05
CG15255	2,62349	0,0002
St3	2,62198	0,0016
CG11550	2,62194	0,0001
odd	2,62148	5,00E-05
CG14017,GluRIIA	2,62089	5,00E-05
Cyp12c1	2,61801	5,00E-05
Oscillin	2,6171	5,00E-05
CG34291	2,616	0,00185
CG18249	2,61472	0,0019
Gli	2,61424	5,00E-05
pk	2,61366	0,0077
CG31288	2,61075	5,00E-05
AttA	2,6104	0,0283
CG15822	2,6095	5,00E-05
CG9413	2,6088	5,00E-05
ham	2,60872	5,00E-05
Csas	2,60674	0,0018
CG31869	2,6065	5,00E-05
CG31198	2,60575	5,00E-05
CG8586	2,6048	5,00E-05
CG17752	2,6046	5,00E-05
CG14661	2,60451	5,00E-05
CG8738	2,6038	5,00E-05
CR45682	2,60347	5,00E-05
MRE23	2,60343	0,0018
ps	2,60298	5,00E-05
Cyp313a4	2,60259	0,01825
CG7059	2,60075	5,00E-05
CG30151	2,59982	0,0007
CG33978	2,59949	5,00E-05
CG9780	2,59942	5,00E-05
CG10508	2,59891	0,0018
CG10550	2,59773	5,00E-05
CG42329	2,59736	5,00E-05
CG43349	2,59519	5,00E-05
CG42450	2,5947	5,00E-05
CG18473	2,59306	5,00E-05
CG33191,Pif1A,Pif1B	2,59236	5,00E-05
Orct	2,5913	5,00E-05
CG31808	2,59087	5,00E-05
Tie	2,59067	5,00E-05
ETHR	2,59067	0,0016
CG30345	2,58957	5,00E-05
CG31102	2,58949	5,00E-05
mab-21	2,5874	5,00E-05
CG10175	2,58734	5,00E-05
CG7724	2,58561	5,00E-05
CG8303	2,58513	5,00E-05
CG8708	2,58462	5,00E-05
CG34327	2,58461	0,00715
CG11796	2,58278	5,00E-05
Mal-A4	2,58237	0,00145
axo	2,58216	5,00E-05
salr	2,57933	5,00E-05
Arr2	2,57907	5,00E-05
CG30460	2,57833	0,01675
NaCP60E	2,57825	0,02705
alphagamma-element:CR32865	2,57716	0,00025
mthl3	2,57714	5,00E-05
Cyp12a5	2,57646	5,00E-05
CG1208,glob3	2,57468	5,00E-05
CG5397	2,57381	5,00E-05
loh	2,57355	0,00155
tw	2,57264	0,00275
Lapsyn	2,57246	5,00E-05
pot	2,57197	5,00E-05
ATP8B	2,57101	5,00E-05
CG31777	2,57059	5,00E-05
CG32017	2,56981	5,00E-05
CG43112	2,56947	5,00E-05
Obp56g	2,56932	5,00E-05
CG5945	2,56789	5,00E-05
Pde8	2,56748	5,00E-05
CG4301	2,56687	5,00E-05
lambdaTry	2,56638	0,0001
CG14105	2,56608	0,00505
CG30371	2,5653	5,00E-05
CG11841	2,56515	5,00E-05
Ugt35b	2,56476	5,00E-05
CG44006	2,56355	0,0124
CG18747	2,56177	0,0001
dati	2,56156	5,00E-05
Tsp42Eq	2,56146	5,00E-05
IM3	2,56122	5,00E-05
CG9150	2,56031	0,0001
Neurochondrin	2,5586	5,00E-05
tobi	2,55787	5,00E-05
CG1791	2,55775	0,0006
Dat	2,55769	5,00E-05
CG6602	2,55769	0,0035
Ance-3	2,55744	0,00155
CG16743	2,55678	0,00015
Timp	2,55666	5,00E-05
CG7296	2,55615	5,00E-05
SP1173	2,55468	5,00E-05
amd	2,55288	0,0003
CG30456	2,55273	5,00E-05
NetA	2,55016	0,00085
PK2-R2	2,54871	0,0018
CG4928	2,54857	5,00E-05
nord	2,5482	5,00E-05
jp	2,54731	5,00E-05
CG13293	2,54562	0,0119
PK1-R	2,54505	0,00035
CG2065	2,54335	5,00E-05
CR45943	2,54253	0,00045
CG13252	2,54247	5,00E-05
CG42673	2,53997	5,00E-05
twit	2,53979	0,0018
CG5909	2,53865	0,0002
CG3332	2,5368	5,00E-05
Scp1	2,53492	5,00E-05
sv	2,53463	0,01145
CG9928	2,53346	5,00E-05
CG6125	2,533	5,00E-05
CG1139	2,52917	0,0001
CG10947	2,52776	5,00E-05
CG11368	2,52613	5,00E-05
Ag5r2	2,52607	0,00235
jbug	2,52493	5,00E-05
Capa	2,52474	5,00E-05
EbpIII	2,52144	5,00E-05
CG7675	2,52025	5,00E-05
CG4829	2,5179	5,00E-05
sage	2,51691	5,00E-05
Spn42Dc,Spn42Dd	2,51628	5,00E-05
RhoGAP100F	2,51592	5,00E-05
prom	2,51587	5,00E-05
lush	2,51493	0,0015
CG10211	2,51412	0,00015
CG8740	2,51359	5,00E-05
Diedel3	2,51068	0,0009
Sidpn	2,51064	5,00E-05
CG7079	2,51032	0,00035
CG34347	2,51005	5,00E-05
hebe	2,50882	5,00E-05
CG9691	2,50868	5,00E-05
Pkg21D	2,5078	5,00E-05
CG17108	2,50741	5,00E-05
CG6836	2,5052	5,00E-05
yellow-b	2,50333	5,00E-05
CG34215	2,50254	0,00215
CG43110	2,50237	5,00E-05
CG8628	2,50091	5,00E-05
CG17189	2,49915	0,0001
Gasp	2,49883	5,00E-05
Nep1	2,49791	0,0004
disco	2,49779	0,0001
CG11898	2,49737	0,0026
byn	2,49728	0,0012
rut	2,49725	5,00E-05
CG8398	2,49716	0,0001
CheB38c	2,49525	0,00125
CG34056,CG34057	2,49519	5,00E-05
CG32369	2,49367	5,00E-05
Unc-115a,Unc-115b	2,49146	5,00E-05
PGRP-LC	2,491	5,00E-05
CG6870	2,49016	5,00E-05
CG10253	2,4901	5,00E-05
CG10562	2,48625	5,00E-05
edl	2,48605	0,00035
Tg	2,48466	5,00E-05
Karl	2,48456	0,00365
CG4133	2,48092	5,00E-05
toe	2,4805	5,00E-05
CG3344	2,47689	5,00E-05
Arr1	2,47651	5,00E-05
ImpL3	2,47525	5,00E-05
CG9812	2,47514	5,00E-05
CG4462	2,47463	5,00E-05
CG12814	2,47419	5,00E-05
CG10170	2,47364	5,00E-05
Mal-A8	2,472	5,00E-05
stv	2,47186	5,00E-05
CG9673	2,47151	0,01505
CG1124	2,47038	5,00E-05
plum	2,46889	5,00E-05
sano	2,4686	5,00E-05
Socs36E	2,46844	5,00E-05
Trpgamma	2,46768	0,0001
CG32551	2,46713	0,0241
CG9380	2,46658	5,00E-05
MtnA	2,46542	5,00E-05
Cpr67B	2,46487	5,00E-05
Obp19d	2,46463	5,00E-05
form3	2,46392	5,00E-05
CG12224	2,46349	5,00E-05
Lim3	2,4623	5,00E-05
CG34330	2,46216	5,00E-05
CG15186	2,46197	5,00E-05
tim	2,46149	5,00E-05
Tep3	2,46014	5,00E-05
Ppn	2,45934	5,00E-05
CG16732	2,45893	0,0047
eyg	2,45892	0,00075
CG13877,Kaz1-ORFB	2,45834	0,0039
CG32091	2,4581	0,0002
CG5455	2,45805	5,00E-05
CG31199	2,45735	5,00E-05
CG8012	2,45571	0,0003
disco-r	2,4537	5,00E-05
CG11149	2,45173	0,00015
CG10086	2,45146	5,00E-05
CG8157	2,45021	0,01535
Cad86C	2,44951	5,00E-05
rdhB	2,44901	5,00E-05
pyr	2,44379	5,00E-05
Mhc	2,44351	5,00E-05
Cpr97Eb	2,44327	0,00705
CG14823	2,44305	5,00E-05
CG32407	2,44143	0,0001
RIC-3	2,4401	5,00E-05
Frq2	2,44001	5,00E-05
Pka-C3	2,43934	5,00E-05
noe	2,43828	0,0074
CG10176	2,43788	0,0012
CG44085	2,43741	5,00E-05
CG14964	2,43735	5,00E-05
CG33109	2,43558	5,00E-05
GATAe	2,43538	5,00E-05
Sox102F	2,43496	5,00E-05
Pph13	2,43475	5,00E-05
CG32695	2,43429	5,00E-05
if	2,43207	5,00E-05
CG9416	2,43139	5,00E-05
mfas	2,43133	5,00E-05
pncr016:2R	2,43114	0,02975
CG13796	2,43061	5,00E-05
mbl	2,42864	5,00E-05
CG40486	2,42799	5,00E-05
Ddc	2,42304	5,00E-05
vg	2,42224	5,00E-05
CG7084	2,41976	5,00E-05
CG15152	2,41933	0,0001
CG17919	2,41888	0,0059
Dbi	2,41833	5,00E-05
Mlp84B	2,41791	5,00E-05
CG31200	2,41762	5,00E-05
FucTC	2,41682	0,00015
LManII	2,41583	5,00E-05
ACC	2,4154	5,00E-05
Tsp42Ej,Tsp42Ek	2,4152	5,00E-05
Elal	2,41163	5,00E-05
CG10026	2,41162	5,00E-05
CG4797	2,41149	5,00E-05
pigs	2,41147	5,00E-05
Galphas	2,41145	5,00E-05
melt	2,41038	0,00065
CG8306	2,40941	5,00E-05
CG5142	2,40858	0,0001
CG4629	2,40838	0,0001
CG11000	2,40818	5,00E-05
gt	2,40755	0,00025
msta	2,40712	0,00035
Npc2b	2,40655	5,00E-05
CG1299	2,40505	5,00E-05
CG12071	2,40505	5,00E-05
CG5577	2,40475	5,00E-05
Lmpt	2,40368	5,00E-05
Nlg1	2,40299	5,00E-05
AQP	2,3993	5,00E-05
scb	2,39803	5,00E-05
Prm	2,39735	5,00E-05
Alp4	2,39581	5,00E-05
Spn47C	2,39561	5,00E-05
CG31103	2,39517	5,00E-05
cv-c	2,39503	5,00E-05
CR46058	2,39483	0,00055
CG5687	2,39282	5,00E-05
roX1	2,39263	0,0181
CG9297	2,39257	5,00E-05
CG14687	2,39153	5,00E-05
Abd-B	2,39104	5,00E-05
Orco	2,39057	0,00335
CG7191	2,39031	0,00115
dnr1	2,39031	5,00E-05
CG42566	2,38973	5,00E-05
gl	2,38946	5,00E-05
yellow-f2	2,38929	5,00E-05
ect	2,38926	5,00E-05
CG5724	2,38799	0,00095
CG2930	2,38608	0,00745
CG31207	2,386	5,00E-05
mthl8	2,38551	5,00E-05
CG32694	2,38494	5,00E-05
CG8888	2,38374	5,00E-05
Mmp1	2,38246	0,0031
CG43673	2,38155	5,00E-05
Act79B	2,38149	5,00E-05
CG14196	2,38144	5,00E-05
Obp83a	2,38068	5,00E-05
Cyp309a1	2,38013	5,00E-05
Mur18B	2,37997	5,00E-05
CG8292	2,37974	0,0119
Kua	2,37958	0,0001
GstE3	2,37942	5,00E-05
obst-E	2,37939	5,00E-05
CG31176	2,37882	0,001
CR44053	2,37769	0,0004
CG45076,CG45078,fau	2,3771	5,00E-05
CG3091	2,37665	5,00E-05
CG9760	2,3764	0,00105
CG9505	2,37479	5,00E-05
CG1572	2,37406	5,00E-05
CG11191	2,37361	5,00E-05
Gagr	2,37322	0,00085
CG32982	2,37158	5,00E-05
CG1246	2,37141	0,00125
stops	2,37042	5,00E-05
Vmat	2,36919	5,00E-05
Traf4	2,36911	5,00E-05
CR44628	2,36861	0,01045
CG9449	2,3686	5,00E-05
nAChRbeta3	2,36858	0,00425
CG1552	2,36701	0,00015
CG5639	2,36557	0,0001
CG33258	2,36493	5,00E-05
Vha100-5	2,36466	0,0001
Gal	2,3636	0,00325
tn	2,3636	5,00E-05
CG2121	2,36306	5,00E-05
CG14591	2,362	5,00E-05
Obp83b	2,36127	0,00165
Lgr1	2,3568	5,00E-05
Cpr49Ah	2,35592	0,0163
Sr-CI	2,35547	0,00015
Clect27	2,35459	5,00E-05
net	2,35369	0,0008
CG13285	2,35299	0,0001
rgn	2,35227	5,00E-05
DIP-epsilon	2,35162	0,00215
serp	2,35144	0,0001
CR44990	2,35081	0,00895
CAH1	2,34983	5,00E-05
CG16779	2,34863	5,00E-05
CG33511	2,34818	0,0003
yellow-d	2,34808	0,0004
CG17570	2,34714	0,0208
Cyp4p1	2,34648	0,0001
CG32150	2,34422	0,0008
CG15506	2,34311	0,00625
laza	2,34185	5,00E-05
CG4630	2,34097	0,01995
GluRIIC	2,3409	0,0003
CG12355	2,3397	5,00E-05
Zasp66	2,33858	5,00E-05
CR46082	2,33848	0,0242
Slob	2,33696	5,00E-05
CG1315	2,33575	0,0149
CG7829	2,3356	5,00E-05
CG6225	2,33518	5,00E-05
CG14356	2,33257	0,00115
CG42700	2,33221	5,00E-05
CG9701	2,33183	0,0002
CG16727	2,32691	5,00E-05
rau	2,32688	5,00E-05
Acp53C14c,CG42392,unc-104	2,3268	5,00E-05
Mipp1	2,32653	5,00E-05
CG5948	2,3258	0,01035
Atg18b	2,32543	5,00E-05
CG8547	2,32524	5,00E-05
CG30069	2,3246	5,00E-05
lft	2,32452	5,00E-05
CG40298	2,32393	0,0025
Zip71B	2,32334	0,00545
Cib2	2,32204	0,01645
Nha1	2,3219	5,00E-05
obst-A	2,32187	0,0072
Cyp305a1	2,32157	5,00E-05
CR45473	2,32114	0,0001
CG10483	2,31873	0,0002
Tsp29Fa	2,31682	5,00E-05
Gpo-1	2,3149	5,00E-05
CG30411	2,31405	0,0089
Inx7	2,31332	5,00E-05
CG6421	2,31317	5,00E-05
Esp	2,31267	5,00E-05
Dh31-R	2,31265	5,00E-05
CG10660	2,31222	5,00E-05
CR43943	2,3109	0,0039
CR46123	2,31053	0,00295
CG32006	2,30995	0,01895
CR44145	2,30989	0,02535
ara	2,30975	0,001
CG11400	2,30958	5,00E-05
CG5770	2,30952	0,0097
Hsp68	2,30949	0,0019
bchs	2,30944	5,00E-05
CG13116	2,30904	0,00465
Nha2	2,30804	5,00E-05
kon	2,30775	0,00015
CG34120	2,30698	5,00E-05
CG14830	2,30569	0,00305
by	2,30432	5,00E-05
CG32280	2,30384	0,00205
CG15021	2,30351	5,00E-05
iab-8	2,30302	0,0001
CG31104	2,30059	0,0001
CG31145	2,29925	5,00E-05
CG9993	2,2983	5,00E-05
CG31370	2,29651	0,00155
CR44960	2,29557	5,00E-05
ey	2,29376	5,00E-05
CG10407	2,2923	5,00E-05
CG6231	2,29225	5,00E-05
dve	2,29212	5,00E-05
metro	2,29169	5,00E-05
Mf	2,29115	5,00E-05
CG42697,GEFmeso	2,29087	5,00E-05
CG17352	2,28996	5,00E-05
Act87E	2,28904	5,00E-05
chinmo	2,28706	5,00E-05
CG15279	2,28499	5,00E-05
CG17778	2,28363	0,0007
CG42249	2,28321	5,00E-05
Tm2	2,28168	5,00E-05
CG13646	2,28107	0,0093
fs(1)Yb	2,2802	0,00015
CG8008	2,27981	5,00E-05
cv-d	2,27814	5,00E-05
CG9098	2,27761	5,00E-05
TpnC41C	2,27612	5,00E-05
CG30203	2,27586	5,00E-05
CG9555	2,27465	0,00315
mthl10	2,27262	0,0272
CG15155	2,27105	5,00E-05
CG17999	2,26977	0,0004
lectin-24Db	2,26933	0,00335
CG5921	2,26933	5,00E-05
sas	2,26698	5,00E-05
Skeletor	2,26685	0,0011
CG15546	2,26611	0,00015
TpnC47D	2,26571	5,00E-05
Sp1	2,26483	5,00E-05
mtg	2,26281	0,00015
vir-1	2,26222	5,00E-05
