gene_name	log2(fold_change)	p_value
Ir76b	2,52342	0,0049
Tdc1	2,52292	0,00825
Gat	2,51979	5,00E-05
Tet	2,51975	5,00E-05
CG11353	2,5192	5,00E-05
Gp150	2,51912	5,00E-05
CG13313	2,51877	5,00E-05
CG5849	2,51876	5,00E-05
nAChRbeta3	2,5185	0,0001
CG7990	2,51841	5,00E-05
beat-VI	2,51725	0,0001
CG14694	2,51601	5,00E-05
yellow-b	2,51595	5,00E-05
retinin	2,5151	5,00E-05
Smvt	2,51494	5,00E-05
CG31370	2,51408	0,0003
CG6465	2,5129	5,00E-05
CG43110	2,50983	5,00E-05
CG42249	2,50914	5,00E-05
CG5612	2,50644	5,00E-05
CG31547	2,50631	5,00E-05
CG13650	2,50396	5,00E-05
toy	2,50269	5,00E-05
CG9649	2,50208	5,00E-05
Cyp6a23	2,50193	5,00E-05
LanB2	2,50191	5,00E-05
SPR	2,50123	5,00E-05
CG32024	2,49915	5,00E-05
NaPi-T	2,49876	5,00E-05
CG10359	2,49859	0,00015
emp	2,49849	5,00E-05
CG8051	2,49738	5,00E-05
CG42822	2,49597	0,02215
CG12541	2,49453	5,00E-05
CR44107	2,49361	0,0071
FucTC	2,49325	0,0001
CG15423	2,49316	5,00E-05
PGRP-SC1a	2,49312	0,0001
NimB2	2,49308	5,00E-05
CG15279	2,49276	5,00E-05
pnr	2,49165	0,0015
CG7888	2,49143	5,00E-05
CG10623	2,49028	5,00E-05
lectin-24Db	2,48968	0,0005
CG10086	2,48918	5,00E-05
ppk	2,48756	0,00035
bab2	2,48644	5,00E-05
dpp	2,48519	5,00E-05
TyrRII	2,48452	5,00E-05
Fer1	2,48227	0,00035
Sr-CI	2,48186	5,00E-05
alpha-Est2	2,47638	0,0003
CG6040	2,47619	5,00E-05
CG11550	2,47568	5,00E-05
v	2,47258	5,00E-05
CG15270	2,47226	5,00E-05
CG5107	2,47225	5,00E-05
sog	2,47006	5,00E-05
CG11951	2,46975	5,00E-05
CG4301	2,46922	5,00E-05
CR45015	2,46844	5,00E-05
CG15630	2,46809	5,00E-05
Nrx-1	2,46639	0,0017
CG4168	2,46618	0,0001
tnc	2,46618	5,00E-05
CG15068	2,46611	5,00E-05
CG15406	2,46555	5,00E-05
CG33514	2,46393	0,00025
Sk1	2,46276	0,00605
Gbs-76A	2,46241	5,00E-05
CG10131	2,46233	5,00E-05
Mipp1	2,46223	5,00E-05
salm	2,4615	5,00E-05
CG11892	2,46139	5,00E-05
CG34288	2,46139	0,0009
CG13654	2,45899	0,0033
CG9380	2,45707	5,00E-05
fng	2,45559	5,00E-05
Cdep	2,45441	5,00E-05
CG42269	2,45381	0,00125
Prm	2,45359	5,00E-05
CG11878	2,4528	5,00E-05
stl	2,45232	5,00E-05
CG6024	2,45218	5,00E-05
CG30008	2,45149	0,00975
fas	2,45128	5,00E-05
CG18417	2,44891	5,00E-05
tal-3A	2,44848	5,00E-05
CG8745	2,44832	5,00E-05
elB	2,44801	5,00E-05
Hf	2,44782	5,00E-05
mab-21	2,44754	5,00E-05
CG5527	2,44737	0,00015
CG5835	2,44676	5,00E-05
unc79	2,44624	5,00E-05
CG33285,ko	2,44332	5,00E-05
CG17027,CG17028,CG17029	2,44123	0,00055
CG8550	2,43885	0,00645
Spn47C	2,43871	5,00E-05
Drat	2,43862	5,00E-05
CG11221	2,43861	0,0002
CG1648	2,43856	5,00E-05
Rdl	2,43772	5,00E-05
otp	2,43771	5,00E-05
spz5	2,4377	0,00475
para	2,43373	5,00E-05
TpnC73F	2,43331	5,00E-05
CG6006	2,433	5,00E-05
Inx7	2,43206	5,00E-05
pirk	2,43027	5,00E-05
CG1791	2,42943	0,00015
Tsp29Fa	2,42925	5,00E-05
CG34054	2,42845	0,00225
Spn42Dc,Spn42Dd	2,42772	5,00E-05
CG44153	2,4276	0,0063
nvy	2,42741	0,0001
Ent3	2,42575	0,00195
cln3	2,42539	5,00E-05
CG9932	2,42447	5,00E-05
Sln	2,42413	5,00E-05
CG40470	2,42233	5,00E-05
CG5973	2,42194	5,00E-05
CG31380	2,42156	0,00025
Scr	2,4215	5,00E-05
CG1213	2,42097	5,00E-05
TM4SF	2,41721	0,00715
CG3104	2,41714	0,00075
CG4019	2,41686	5,00E-05
CG8738	2,41675	5,00E-05
CG14015	2,41665	0,00045
betaTub97EF	2,4154	5,00E-05
CG10300	2,41474	0,00415
santa-maria	2,4143	0,00365
CG5577	2,41405	5,00E-05
CG8888	2,41379	5,00E-05
CG15203	2,41182	5,00E-05
CG6415	2,41167	5,00E-05
CG7203	2,40952	0,0029
CG30015	2,40894	5,00E-05
CG42337	2,40891	5,00E-05
CG31821	2,40817	5,00E-05
Eaat1	2,40642	5,00E-05
Obp99d	2,40601	0,00035
CG18208	2,40458	5,00E-05
CG18747	2,40413	5,00E-05
CG30456	2,40278	5,00E-05
CG31769	2,40199	5,00E-05
CG4716	2,39908	5,00E-05
Cyp6w1	2,39867	5,00E-05
mthl3	2,39793	5,00E-05
hebe	2,39711	5,00E-05
CG1695	2,39633	5,00E-05
CG3328	2,39517	5,00E-05
CG43078	2,39463	5,00E-05
CG1673	2,3937	5,00E-05
Tm2	2,39248	5,00E-05
Send1	2,39174	5,00E-05
CG30047	2,39027	5,00E-05
Cyp12a4	2,38997	5,00E-05
CG33511	2,38939	5,00E-05
Antp	2,38853	5,00E-05
CG45263	2,3885	5,00E-05
Cyp6g1	2,3871	5,00E-05
CG32407	2,38575	5,00E-05
nahoda	2,38562	5,00E-05
CG31200	2,38511	5,00E-05
CG9990	2,38419	5,00E-05
Gnmt	2,38339	5,00E-05
CG4393	2,38324	5,00E-05
Drl-2	2,38224	5,00E-05
dati	2,3812	5,00E-05
up	2,38038	5,00E-05
X11Lbeta	2,37925	5,00E-05
CG17386	2,37809	5,00E-05
dpr5	2,37789	0,00025
CG42235	2,37767	5,00E-05
CG31778	2,37759	0,0006
CG32333	2,37555	5,00E-05
CG6959	2,37551	5,00E-05
Rbp	2,37511	5,00E-05
CG6283	2,3742	0,01385
pot	2,37357	5,00E-05
rols	2,37216	5,00E-05
zormin	2,36947	5,00E-05
CR44640	2,3689	0,01105
Amy-d	2,36669	5,00E-05
ex	2,36587	0,01445
fd102C	2,36584	0,00595
CG14195	2,36529	5,00E-05
CG18301,Lip4	2,36454	5,00E-05
CG45057	2,36301	5,00E-05
ACC	2,36222	5,00E-05
CG2781	2,36197	5,00E-05
CG11594	2,36186	5,00E-05
CG2233	2,36128	5,00E-05
CG42346	2,36127	0,0132
sick	2,35949	5,00E-05
CG30285	2,35948	5,00E-05
CG30460	2,35897	0,00495
Dr	2,35866	0,00085
Idgf1	2,3567	0,00095
GluRIIC	2,35597	5,00E-05
CG34446	2,3559	5,00E-05
smp-30	2,35575	0,00435
mmd	2,35565	5,00E-05
CG18404	2,35556	5,00E-05
CG4829	2,35422	5,00E-05
Cpr47Ee	2,35367	5,00E-05
CG31199	2,35365	5,00E-05
CG5326	2,35345	5,00E-05
slow	2,35227	0,0003
CG6839	2,35007	5,00E-05
CG31326	2,35005	5,00E-05
Timp	2,34998	5,00E-05
disco	2,34894	0,0004
CG15695	2,34881	5,00E-05
CG16772	2,34796	5,00E-05
Obp99c	2,34553	5,00E-05
CG10924	2,3433	0,00235
sli	2,34213	5,00E-05
Est-6,Est-P	2,34133	5,00E-05
CG43778,CG43779	2,34047	5,00E-05
PGRP-SC2	2,33884	5,00E-05
CG10019	2,33871	0,00015
CG43163	2,33867	5,00E-05
cpo	2,33831	5,00E-05
CG8306	2,33753	5,00E-05
CG14257	2,33687	0,0004
Nha1	2,33682	5,00E-05
CG34462	2,3361	0,00035
CG17919	2,33324	0,0076
CG10170	2,33224	5,00E-05
CG34301	2,33213	5,00E-05
CG17839	2,33161	5,00E-05
fz2	2,3314	5,00E-05
CG9629	2,329	0,01015
CG13999	2,32873	0,01545
CG10570	2,32695	5,00E-05
Mhc	2,32693	5,00E-05
Cht3	2,32693	0,00015
CG12014	2,32689	0,00045
Tace	2,32669	0,00015
Tret1-1	2,32579	5,00E-05
CG14629	2,32575	0,00115
Muc68E	2,32535	5,00E-05
nolo	2,32504	5,00E-05
Dfd	2,32491	5,00E-05
Doc1	2,32424	0,0021
CG15742,mew	2,32344	5,00E-05
cac	2,323	5,00E-05
CG42268	2,32103	5,00E-05
IM14	2,32001	5,00E-05
CG34284	2,31972	5,00E-05
noc	2,31958	5,00E-05
uif	2,31948	5,00E-05
Rim	2,31947	5,00E-05
18w	2,31943	5,00E-05
CG7882	2,31929	5,00E-05
iab-8	2,31898	0,0001
CR42839	2,31875	0,00015
lz	2,31853	0,0003
Cyp6a21	2,31733	0,0003
nAChRbeta2	2,3161	0,0002
psh	2,31366	5,00E-05
CG31874,Sur	2,31305	5,00E-05
IM1	2,31255	5,00E-05
CG10176	2,31139	0,0056
CG11898	2,31089	0,00015
beat-IIb	2,30959	0,00055
AstA	2,30912	5,00E-05
CG13868	2,30906	5,00E-05
Syngr	2,30903	5,00E-05
CG15202	2,30839	0,00015
NimB4	2,30764	0,0001
Mmp1	2,30563	0,0014
CG4250	2,30511	5,00E-05
Kua	2,30508	5,00E-05
St1	2,30428	5,00E-05
CG43066	2,30417	5,00E-05
Pde9	2,30368	5,00E-05
CG7300	2,30358	5,00E-05
esn	2,30333	0,00105
Glt	2,30321	5,00E-05
CG7059	2,30243	5,00E-05
CG6329	2,30233	5,00E-05
CG3699	2,30218	5,00E-05
Alp4	2,30068	5,00E-05
CG30016	2,30011	5,00E-05
CG12974	2,29965	5,00E-05
Tep2	2,29858	5,00E-05
ths	2,29788	5,00E-05
Cyp4d8	2,2974	0,00015
CG10175	2,29739	0,0001
Rab26	2,29705	0,0001
CG4928	2,29679	5,00E-05
CG1143	2,29594	5,00E-05
Oamb	2,29522	5,00E-05
CG13995	2,29521	5,00E-05
CG14528	2,29515	0,01145
Vm34Ca	2,29433	5,00E-05
drl	2,29368	5,00E-05
Pvr	2,29316	5,00E-05
CG33080	2,29302	5,00E-05
eya	2,29301	5,00E-05
CG42784,CG43850	2,29262	5,00E-05
DNaseII	2,29202	5,00E-05
Appl	2,29152	5,00E-05
Ets98B	2,29027	5,00E-05
CG4797	2,29023	5,00E-05
Cyp18a1	2,29021	5,00E-05
nAChRbeta1	2,28874	5,00E-05
brp	2,28836	5,00E-05
Peritrophin-15a	2,28708	5,00E-05
CG8907	2,28648	5,00E-05
Teh2,Teh3	2,28615	0,01775
Eip93F	2,28447	5,00E-05
CR44990	2,28424	0,0029
Cyp12a5	2,28401	5,00E-05
CG9631	2,28395	5,00E-05
CG42339	2,28114	0,0004
PH4alphaEFB	2,28043	5,00E-05
Obp56d	2,28017	5,00E-05
CG31321	2,2799	0,0001
mirr	2,27789	5,00E-05
CG13409	2,276	0,0002
Rgk1	2,27579	5,00E-05
Mp	2,27555	5,00E-05
Rab3-GEF	2,2738	5,00E-05
CG34253	2,27244	0,00555
CG31102	2,2723	5,00E-05
CG1607	2,27205	5,00E-05
Tsp42Eo	2,27018	0,0026
CR45682	2,26995	5,00E-05
kar	2,26829	5,00E-05
CG7992	2,26698	0,00135
CG11191	2,26613	5,00E-05
Cyp9b2	2,2651	5,00E-05
CG14509	2,26355	5,00E-05
Muc11A	2,26332	5,00E-05
nemy	2,26294	5,00E-05
CG17244	2,26281	5,00E-05
CG17108	2,25879	5,00E-05
CG12402	2,25858	0,00035
CG12194	2,25804	5,00E-05
CG33191,Pif1A,Pif1B	2,25799	5,00E-05
Dat	2,25641	5,00E-05
Socs36E	2,25638	5,00E-05
tio	2,2561	0,0001
Six4	2,25575	5,00E-05
ptc	2,25533	0,0002
CG31676	2,25509	5,00E-05
Rootletin	2,25487	0,00165
Shal	2,25209	5,00E-05
Cubn	2,25134	5,00E-05
CG32444	2,25083	5,00E-05
rgn	2,2492	5,00E-05
CG32695	2,24885	5,00E-05
frac	2,24873	5,00E-05
CG13309	2,24838	5,00E-05
form3	2,24651	0,00025
CG9008	2,24501	5,00E-05
CG15021	2,24389	5,00E-05
CG30049	2,24317	0,00365
tn	2,24299	5,00E-05
CG5162	2,24234	5,00E-05
Cpr67B	2,24034	5,00E-05
CG17032	2,2399	5,00E-05
CG6048	2,23832	5,00E-05
Ance	2,23831	5,00E-05
CG11852	2,23831	0,0001
CG14132	2,23785	0,00035
CR17025,mir-252	2,2374	0,00525
Blimp-1	2,23718	5,00E-05
Npc2b	2,23703	5,00E-05
CG34445	2,23597	0,0012
CR45943	2,23593	0,00055
CG8398	2,23573	5,00E-05
Mur18B	2,23318	5,00E-05
CG5639	2,23303	5,00E-05
Rgk2	2,23174	0,0001
TkR99D	2,23165	0,00035
CG1208,glob3	2,23066	5,00E-05
Ser7	2,23052	5,00E-05
Esyt2	2,23019	5,00E-05
jim	2,22981	5,00E-05
CG31681	2,22906	5,00E-05
Pde8	2,22848	5,00E-05
NAAT1	2,22695	5,00E-05
CG5724	2,22622	0,0002
Dh31	2,22607	0,0138
CG13068	2,22569	0,02285
Rfabg	2,22549	5,00E-05
CG13078	2,2241	0,0058
tow	2,22335	5,00E-05
FASN3	2,22319	5,00E-05
GstT4	2,22235	5,00E-05
CR46038	2,22226	0,0049
Mlc2	2,22221	5,00E-05
CG1979,Sodh-1	2,22211	5,00E-05
CG1136	2,22166	5,00E-05
CG12535	2,22153	0,02495
CG13300	2,22024	0,00095
CG14500	2,22022	5,00E-05
Skeletor	2,21928	5,00E-05
CG1124	2,2186	5,00E-05
Nplp2	2,21471	5,00E-05
Trim9	2,21463	0,00025
CG9279	2,21462	5,00E-05
CG30089	2,21419	5,00E-05
Npc2g	2,21338	5,00E-05
vir-1	2,21324	5,00E-05
CG1942	2,21301	0,0025
CG44422	2,2128	0,00015
Lapsyn	2,21214	5,00E-05
CG9452	2,2121	5,00E-05
skl	2,21198	0,01715
CG9928	2,21133	5,00E-05
CG44085	2,21109	5,00E-05
shakB	2,21041	5,00E-05
Syt4	2,20965	5,00E-05
bark	2,20916	5,00E-05
CG11147	2,20896	0,0003
Vmat	2,2085	5,00E-05
CG42714	2,20715	0,00115
CG6184	2,20681	5,00E-05
GABA-B-R2	2,20623	5,00E-05
swi2	2,20586	0,0048
CG14933,CG42486	2,20572	0,00165
melt	2,20479	5,00E-05
Cyp4p1	2,20415	5,00E-05
wgn	2,20386	5,00E-05
Ugt35b	2,20243	5,00E-05
CG31300	2,20233	5,00E-05
Ccn	2,20211	0,0188
CG1572	2,20207	5,00E-05
CG15221	2,1999	0,0214
CG15890	2,19862	5,00E-05
Tsp42Ei	2,19848	5,00E-05
CG9512	2,19806	0,0009
CG31445	2,19783	5,00E-05
Gr64a,Gr64c,Gr64d,Gr64e	2,19745	0,00275
Ptp36E	2,19559	5,00E-05
Tsp42Eg	2,19484	5,00E-05
CG13360	2,19454	5,00E-05
ssp7	2,19437	0,01995
CG34347	2,19375	5,00E-05
CG15365	2,1933	0,0001
CG8952	2,19327	0,0005
Mrp4	2,1928	5,00E-05
CG31743,CG34313	2,19267	5,00E-05
mthl15	2,1923	0,00015
CG8303	2,19222	5,00E-05
CG10512	2,19162	0,00035
Optix	2,19082	0,00425
CG12344	2,19046	0,0121
Npc2h	2,1895	5,00E-05
elav	2,18867	0,00075
mfas	2,18806	5,00E-05
CG7079	2,18576	0,00015
Gs2	2,18517	5,00E-05
CadN	2,18421	5,00E-05
CG32687	2,1815	5,00E-05
mamo	2,18049	5,00E-05
Irc	2,18035	5,00E-05
CG8740	2,17986	5,00E-05
CG1698	2,17854	5,00E-05
peb	2,17838	5,00E-05
CG18095	2,17751	5,00E-05
CR45251	2,17697	0,00705
CG31463	2,17681	0,0073
bdl	2,17668	5,00E-05
trol	2,17609	5,00E-05
CG2254	2,17574	5,00E-05
scb	2,17554	5,00E-05
CG8925	2,17541	0,00015
PKD	2,17496	5,00E-05
ham	2,17463	5,00E-05
CG5361	2,17387	0,00055
CR43417	2,17376	0,00045
Nep1	2,17339	0,00945
CG6495	2,17261	5,00E-05
CG1909	2,17217	5,00E-05
gbb	2,17044	5,00E-05
by	2,17021	5,00E-05
CG42817	2,16893	5,00E-05
CG9864	2,16881	5,00E-05
Irk2	2,16852	5,00E-05
CG13856	2,16698	0,0002
CG7164,Uro	2,16533	5,00E-05
nrm	2,16385	5,00E-05
CG34354	2,16332	5,00E-05
fkh	2,16326	5,00E-05
Tig	2,16224	5,00E-05
CG14949	2,16163	5,00E-05
CG17124	2,16116	5,00E-05
Jhedup	2,16068	0,0004
CG33110	2,15847	5,00E-05
CG42521	2,1573	5,00E-05
CG13293	2,15666	0,0067
CG1461	2,15645	5,00E-05
IM4	2,1559	5,00E-05
Shab	2,15501	5,00E-05
CG31675,CG9338	2,15454	5,00E-05
CG32700	2,15343	0,02135
mGluR	2,15336	5,00E-05
CG14105	2,15284	0,0023
ps	2,15172	5,00E-05
CG33099	2,15167	5,00E-05
CG45076,CG45078,fau	2,15154	5,00E-05
Oseg2	2,15061	0,00075
ckn	2,15028	5,00E-05
Obp49a	2,14893	5,00E-05
Myo61F	2,14876	5,00E-05
CG3635	2,14842	0,001
CG17323	2,1479	5,00E-05
CG3253	2,14663	0,0057
jp	2,14625	5,00E-05
Fas3	2,14563	5,00E-05
Gpo-1	2,14512	5,00E-05
AdamTS-A	2,14315	5,00E-05
CG11438	2,14313	0,0008
Rbp6	2,14313	5,00E-05
CG15046	2,1422	0,00055
CG4133	2,14101	5,00E-05
CG1139	2,14079	5,00E-05
CG32750	2,14034	0,00125
NPFR	2,13978	5,00E-05
GNBP2	2,13975	5,00E-05
Cyp12c1	2,13962	5,00E-05
CG11368	2,13947	5,00E-05
alpha-Est8	2,13913	5,00E-05
rdo	2,13829	0,0002
CG5172	2,13756	0,01575
Cyp317a1	2,1372	0,00405
CG3505	2,13718	5,00E-05
Ndg	2,13696	0,00025
tara	2,13572	5,00E-05
CG10205	2,13553	5,00E-05
CG13833	2,13416	0,0003
H15	2,13409	0,0017
kappaTry	2,13378	5,00E-05
Osi24	2,13199	0,0039
CG9812	2,13118	5,00E-05
CG12963	2,13099	5,00E-05
dpy	2,13055	5,00E-05
cpx	2,13007	5,00E-05
Lst	2,12972	5,00E-05
rn	2,12945	5,00E-05
CG5883	2,12933	0,0239
Mlc1	2,12859	5,00E-05
CG10211	2,12816	5,00E-05
CG3739	2,12815	0,0086
CG17278	2,1271	5,00E-05
ap	2,12679	5,00E-05
CG5390	2,12615	5,00E-05
br	2,12615	0,00015
CAH1	2,12576	5,00E-05
CG17121	2,12551	5,00E-05
CG6282	2,12521	5,00E-05
CG4607	2,12485	5,00E-05
CG15385	2,12405	5,00E-05
CG32082	2,12387	5,00E-05
CG15422	2,12384	5,00E-05
CG10137	2,12367	0,0004
CG5853	2,1212	0,0011
Clect27	2,12066	5,00E-05
loh	2,12062	0,0002
CR44347	2,11937	0,0074
Karl	2,11776	0,00175
grn	2,1172	0,0015
ss	2,11668	0,00185
Bace	2,11652	5,00E-05
CG12355	2,11626	5,00E-05
Kr-h1	2,11573	5,00E-05
CG17928	2,11408	5,00E-05
CR42794	2,11341	0,01085
fa2h	2,11305	0,00595
abd-A	2,11251	5,00E-05
cmpy	2,11046	0,0001
Mf	2,11044	5,00E-05
TotC	2,11032	0,0046
Lmpt	2,10942	5,00E-05
CG13252	2,10847	5,00E-05
CG12814	2,10832	5,00E-05
CG14523	2,10753	0,0313
CG13283	2,10729	0,00085
alpha-Est9	2,10698	5,00E-05
Ddc	2,1069	5,00E-05
Dbi	2,10611	5,00E-05
Mp20	2,10546	5,00E-05
SoxN	2,10527	0,00015
Tsf3	2,10489	0,02635
CG10970,CG44325	2,10489	5,00E-05
CG9400	2,10407	0,0318
scaf	2,103	5,00E-05
CG11317	2,10268	5,00E-05
CG12483	2,10265	0,00215
CG8547	2,1016	5,00E-05
CG33120	2,10116	0,0004
CG12643	2,10097	0,00025
CG6044,VepD	2,10067	0,0023
CG15544	2,09975	0,0017
CG6409	2,09426	5,00E-05
CG17549	2,09277	5,00E-05
pigs	2,09259	5,00E-05
Vha100-5	2,09253	5,00E-05
Actbeta	2,09209	5,00E-05
edl	2,09139	0,0001
CG9782	2,09048	0,006
CG31345	2,08939	0,00025
sty	2,08819	5,00E-05
CG14275	2,08808	5,00E-05
CG9701	2,08605	5,00E-05
CG14439	2,08584	5,00E-05
CG34109	2,08371	0,02045
Ef1alpha100E	2,08369	5,00E-05
Oatp33Eb	2,08323	5,00E-05
Pde1c	2,08286	0,0052
CG8245	2,08239	5,00E-05
fs(1)Yb	2,08101	0,00115
Spn31A	2,08062	0,0001
CG4629	2,08019	5,00E-05
CG2681	2,07883	5,00E-05
SP1173	2,07833	5,00E-05
Galphas	2,0783	5,00E-05
Gli	2,07821	5,00E-05
Adgf-C	2,07779	0,0018
CG4328	2,07661	0,0061
qtc	2,07658	5,00E-05
Cyp301a1	2,07591	0,02165
Scgalpha	2,07515	0,0009
CG5867	2,07474	5,00E-05
stumps	2,07462	5,00E-05
ndl	2,07403	0,02335
CG15506	2,07397	0,00215
CG10178	2,07365	5,00E-05
CG12817	2,07298	0,0175
CG5948	2,07228	0,01335
CG31106	2,07212	5,00E-05
CG1946	2,07014	0,00395
Syp	2,06846	5,00E-05
stum	2,06779	0,0056
CG13086	2,06704	0,0003
CG9672	2,06661	0,0126
CG8586	2,06573	5,00E-05
ey	2,06553	5,00E-05
CG30371	2,06376	5,00E-05
PGRP-LC	2,06335	5,00E-05
to	2,06268	5,00E-05
CS-2	2,06253	5,00E-05
CG3091	2,06238	5,00E-05
CG14964	2,06205	5,00E-05
VhaM9.7-a	2,0618	0,00025
SK	2,0612	5,00E-05
CG11000	2,05986	5,00E-05
nkd	2,05913	5,00E-05
Tsp42El	2,05785	5,00E-05
sas	2,05739	5,00E-05
CR46123	2,05738	0,00875
Cow	2,05738	5,00E-05
alpha-Est7	2,05716	5,00E-05
TpnC47D	2,05603	5,00E-05
geko	2,05529	0,0024
CG32694	2,05523	5,00E-05
CG17110,CG6726	2,05382	5,00E-05
fru	2,05376	5,00E-05
CG42663	2,05343	0,00545
CG13056	2,05164	0,00555
CG6836	2,05135	5,00E-05
lbl	2,05051	0,0006
mid	2,04981	0,0022
CG4259	2,04957	0,0018
CG43291	2,0494	0,0004
Cyp6g2	2,04887	0,021
CG4363	2,04868	5,00E-05
Myo10A	2,0482	5,00E-05
COX4L	2,04803	0,0221
Fmo-2	2,04799	5,00E-05
RhoGEF64C	2,04766	0,00165
knrl	2,04728	5,00E-05
CG11841	2,04728	5,00E-05
Fs	2,04644	0,00025
NijA	2,04525	5,00E-05
CG10650	2,04523	5,00E-05
vg	2,0442	5,00E-05
CG12105	2,04404	0,0145
CG32392	2,0438	0,00145
mesh	2,04336	5,00E-05
Tsp42En	2,04296	0,00025
CG10361	2,0414	0,00335
CG10345	2,04119	5,00E-05
CR45629	2,04089	0,0208
CG5254	2,03715	0,0012
CG3597	2,03502	5,00E-05
CG32813	2,03455	5,00E-05
CG5171	2,03327	5,00E-05
Tmhs	2,03082	0,0001
alphaTry	2,0281	5,00E-05
CG42700	2,02712	5,00E-05
CG4596	2,02617	0,00065
nub	2,02571	0,00015
Vm26Aa	2,02555	5,00E-05
Pka-C3	2,02542	5,00E-05
ogre	2,02524	5,00E-05
CG33127	2,02519	0,01425
CG14196	2,02368	5,00E-05
CG13795	2,02365	0,0001
CG7333	2,02289	0,01665
Tsp29Fb	2,02219	5,00E-05
CG31373	2,02104	5,00E-05
Dif	2,02032	0,0003
ASPP	2,01917	5,00E-05
CG42390	2,01886	5,00E-05
scro	2,01848	0,00085
CG5399	2,01751	5,00E-05
bru-2	2,01743	5,00E-05
Rpt6R	2,01717	0,0231
CG31248	2,01679	5,00E-05
CG10483	2,01671	0,0003
Pdp1	2,0157	5,00E-05
Hn	2,01524	5,00E-05
CG5346	2,01513	5,00E-05
CG3604	2,01382	5,00E-05
Fili	2,01261	0,0026
CG6749	2,01228	0,0049
Cad96Ca	2,01168	0,0002
HP1D3csd,Mec2	2,01159	5,00E-05
CR46139	2,01151	0,02675
CG6999	2,01086	0,0083
CG17636	2,01008	5,00E-05
CG31288	2,00963	5,00E-05
CG16947	2,0096	0,00015
Proc	2,00864	5,00E-05
CG18748	2,0082	0,00075
CR43928	2,00806	0,00945
St4	2,0068	0,0074
jbug	2,00672	5,00E-05
frma	2,00671	5,00E-05
beta-Spec	2,00572	5,00E-05
CG15661	2,00529	5,00E-05
CG6675	2,0049	0,00105
CG43861	2,0039	0,0003
Cad86C	2,0035	5,00E-05
CG1441	2,00274	5,00E-05
CG30151	2,00222	0,001
cv-d	2,00112	5,00E-05
Sr-CIV	2,0001	0,0014
SclA,SclB	1,99905	5,00E-05
CG42566	1,99899	0,0002
mthl10	1,99874	0,0135
CR43866	1,99872	0,0224
plum	1,99856	5,00E-05
CG43103	1,99763	0,0062
Spn77Ba	1,99763	0,01735
CG13670	1,99703	0,0103
Frq2	1,99699	5,00E-05
cv-c	1,99674	5,00E-05
CG10348	1,99642	0,001
MsR2	1,99623	0,00255
Cyp12e1	1,99593	5,00E-05
CG42326	1,99543	0,00015
LManI	1,99489	0,0006
Obp44a	1,99311	0,02195
Tusp	1,99311	0,00035
btd	1,99251	0,0034
CG32369	1,99239	5,00E-05
CG9270	1,99183	5,00E-05
CG9449	1,99162	5,00E-05
CG10877	1,99091	0,00335
fw	1,99028	0,00035
CG31414	1,98909	0,00025
grh	1,9889	5,00E-05
CG13306	1,98882	0,00045
CG8834	1,98876	5,00E-05
CG3835	1,98829	5,00E-05
salr	1,98786	0,0001
Dh44-R1	1,98732	0,00105
yip7	1,98696	5,00E-05
CR42646	1,98682	0,00095
Mlp84B	1,98435	5,00E-05
CG10177	1,98406	0,01595
CG10562	1,98271	5,00E-05
CG42329	1,98247	5,00E-05
comm	1,98228	0,00065
GluRIID,GluRIIE	1,98114	0,0032
CG11889,CG11891	1,98028	5,00E-05
Lim1	1,97933	5,00E-05
Syt7	1,97916	5,00E-05
rut	1,9789	0,0203
CG17778	1,97782	0,00025
CG14567	1,97757	0,0003
OS9	1,97597	0,0008
CG6908	1,97507	5,00E-05
CG13928	1,97462	0,00015
CG16727	1,97342	5,00E-05
spheroide	1,97341	0,01905
CG16791	1,97277	5,00E-05
CG9743	1,97186	5,00E-05
CG33143	1,96903	0,0031
dpr1	1,96851	0,0005
Amy-p	1,96799	5,00E-05
CG5921	1,96783	5,00E-05
FMRFa	1,96748	5,00E-05
CG4630	1,96651	0,00805
CG4847	1,96562	5,00E-05
Syn	1,96555	5,00E-05
Slc45-1	1,96539	5,00E-05
Nhe2	1,96503	5,00E-05
Tie	1,96479	5,00E-05
Syt1	1,96478	5,00E-05
obst-E	1,9646	5,00E-05
CG13618	1,96417	5,00E-05
hui	1,96371	5,00E-05
CG17570	1,96314	0,0012
CG42673	1,96297	5,00E-05
Sox102F	1,96111	5,00E-05
CCKLR-17D3	1,96043	0,0103
Cda5	1,96003	5,00E-05
DopEcR	1,9592	5,00E-05
Gagr	1,95512	0,0004
E(spl)m3-HLH	1,95401	0,0009
CG6891	1,95399	5,00E-05
CG7497	1,95363	0,0001
CG14590	1,9536	0,0001
Gal	1,95357	0,01105
inv	1,95357	0,0018
CG7778	1,95325	5,00E-05
ect	1,9513	5,00E-05
CG4781	1,9512	5,00E-05
Or63a	1,95005	0,00725
shot	1,94983	5,00E-05
CG16798	1,94976	0,00935
CG33203	1,94901	5,00E-05
NK7.1	1,94791	5,00E-05
CCHa1	1,94591	0,00115
CG30026	1,94554	5,00E-05
Tep3	1,94479	5,00E-05
hiw	1,94468	0,0027
CG14274	1,94428	0,0007
CG9691	1,94404	5,00E-05
yellow-h	1,94226	0,0006
sano	1,94223	5,00E-05
so	1,93905	5,00E-05
Clk	1,93883	5,00E-05
CG31272	1,93809	5,00E-05
