gene_name	log2(fold_change)	p_value
CG2680	2,12155	0,0028
Zip71B	2,12134	0,0139
trn	2,12051	0,00175
tobi	2,11792	5,00E-05
Mmp2	2,11721	0,0013
shakB	2,1171	0,0001
Tsp42Eq	2,11658	0,00135
CG10560	2,11585	5,00E-05
Jon99Cii	2,1153	5,00E-05
CG9649	2,11501	0,00185
fw	2,11319	0,00955
CG5065	2,11256	5,00E-05
bark	2,11244	0,00015
org-1	2,11204	0,0132
epsilonTry	2,11201	5,00E-05
Cyp12a5	2,11134	0,0021
CG9813	2,10518	5,00E-05
CG17778	2,10366	0,00185
PH4alphaPV	2,10331	0,007
ple	2,1008	0,00075
zormin	2,09982	5,00E-05
CG14186	2,09796	5,00E-05
LysP	2,09726	0,00015
rgn	2,09703	0,00185
Atet	2,09701	5,00E-05
CG31086,CG31323	2,09701	0,01185
CG14196	2,09645	0,00015
CG15630	2,09589	0,0025
Slc45-1	2,09417	0,00575
vg	2,09378	0,01325
CG4629	2,09377	0,0025
CG14245	2,0907	5,00E-05
frma	2,08866	5,00E-05
elB	2,08309	0,00055
NPF	2,0828	0,00365
CG31272	2,07963	5,00E-05
CG15201	2,07863	5,00E-05
mamo	2,07831	5,00E-05
CG5773	2,07719	0,00095
CG31475	2,07591	0,0097
eya	2,07446	5,00E-05
Pvr	2,07441	5,00E-05
CG8888	2,07433	5,00E-05
CG6867	2,07108	0,0144
CG5080	2,06955	5,00E-05
CG11353	2,06916	0,0154
bru-2	2,06901	5,00E-05
Cat	2,06828	5,00E-05
Syt7	2,06724	5,00E-05
CG11842	2,0671	0,00995
Irk3	2,06536	0,0052
Reg-2	2,06471	0,00195
CG8358	2,06461	0,0205
DNaseII	2,06337	0,0003
CG4133	2,06292	0,00145
CG43110	2,06198	0,00025
PGRP-LC	2,05752	0,00075
CG6959	2,05747	0,0002
CG9689	2,05709	0,00655
CG11191	2,05663	0,0035
CR44035	2,05652	0,0143
Dop1R2	2,05544	0,002
Mal-A3	2,05527	0,0015
Npc2h	2,05472	0,0119
Sox21b	2,05462	0,0138
Sox102F	2,05385	5,00E-05
bowl	2,05371	5,00E-05
Eip93F	2,05341	5,00E-05
ImpL2	2,05199	5,00E-05
CG7542	2,05071	0,01135
Ugt36Bc	2,04991	0,00095
CG13650	2,04989	0,0025
CG5687	2,04913	5,00E-05
CG7135	2,04882	0,01485
PsGEF	2,04821	5,00E-05
CG42249	2,04651	5,00E-05
GstT4	2,0447	5,00E-05
CG30278,Oatp58Da	2,04045	0,0066
Nhe2	2,03904	5,00E-05
CG9932	2,03645	5,00E-05
Blimp-1	2,03607	5,00E-05
CG1208,glob3	2,03607	0,00365
CG17475	2,0355	5,00E-05
Pkg21D	2,0339	0,0041
stumps	2,032	0,0003
CG42335	2,03194	0,0046
IM2	2,03043	0,0045
Syp	2,0303	0,0011
Gat	2,02922	0,00415
CG5853	2,02886	0,0002
kek4	2,0281	0,01165
CG17323	2,02734	0,00075
CG30089	2,02626	0,0006
CG34446	2,02611	0,01455
CG12541	2,02551	0,0023
CG15423	2,02514	0,00075
hebe	2,02438	5,00E-05
sosie	2,02327	0,00195
stv	2,02214	5,00E-05
melt	2,02123	0,00675
CG42269	2,02052	0,0141
rau	2,02045	0,0004
CG15021	2,01955	0,0009
NimB2	2,01902	5,00E-05
otp	2,01822	0,0067
CG10483	2,01771	0,0097
Rgk2	2,01761	0,0028
List	2,01667	0,00645
Sh	2,01653	5,00E-05
Rcd2	2,01505	0,00095
CG9702	2,01442	0,00255
CG12974	2,01426	0,0002
ASPP	2,01237	5,00E-05
CG33191,Pif1A,Pif1B	2,01171	5,00E-05
CG5999	2,01159	0,0161
Wnt6	2,01115	0,00255
Lapsyn	2,01037	0,0021
CG6356	2,0098	0,01005
CR31451	2,00663	5,00E-05
bchs	2,00305	5,00E-05
CG8245	2,00258	0,0024
Nlg1	2,00016	0,00035
ec	1,99937	0,01255
CG31324	1,99674	0,0021
CG5849	1,99569	0,013
SerT	1,99537	0,0123
CG7992	1,99535	0,02165
CG32944	1,99365	0,00335
Glt	1,99281	5,00E-05
Pde9	1,99145	0,02085
Tig	1,99034	0,0031
CG8547	1,98919	5,00E-05
CG32024	1,98887	0,0027
CG8785	1,98849	0,00115
CG5612	1,98533	0,0032
VhaM9.7-a	1,98462	0,00835
Ets98B	1,97988	0,0011
CG32669	1,97903	0,02095
CG9451	1,97859	0,00115
rut	1,97779	0,001
Tg	1,97611	0,00015
Cyp4p1	1,97497	5,00E-05
CG13321	1,97291	5,00E-05
CG42339	1,97288	0,01415
Oatp33Eb	1,97255	5,00E-05
cpo	1,9706	5,00E-05
CG15068	1,96834	0,00025
inv	1,96754	0,02
etaTry	1,96601	0,00365
CG2233	1,96583	5,00E-05
Timp	1,96562	5,00E-05
CG1139	1,96483	0,0043
nord	1,96292	0,0028
CG15385	1,96082	0,0009
Oatp58Db	1,96038	0,0002
CG13796	1,96031	0,00365
CG30047	1,96006	0,0027
ci	1,95821	5,00E-05
Drat	1,95658	5,00E-05
CG8628	1,9565	0,0001
Pde8	1,95648	5,00E-05
CG32813	1,95571	5,00E-05
pyr	1,95428	0,0001
CG15431	1,9513	0,0004
dysc	1,94947	5,00E-05
NK7.1	1,94936	0,01175
CG15784	1,94908	5,00E-05
sog	1,94812	5,00E-05
CG31300	1,9476	0,00415
Msr-110	1,9454	5,00E-05
CG34330	1,94431	5,00E-05
Ddc	1,94393	0,0055
bnl	1,94369	0,01035
ham	1,94301	0,0116
Npc2g	1,94141	0,0056
dpy	1,94139	5,00E-05
cas	1,94128	0,01915
Shroom	1,93964	5,00E-05
CG34426	1,93861	0,00405
Abd-B	1,93854	0,00205
Cyp9f2	1,93781	5,00E-05
Prm	1,93678	5,00E-05
CG18745	1,93667	0,0048
tara	1,93636	0,0001
CG30371	1,9354	5,00E-05
CG31777	1,93508	0,00355
lox2	1,93338	0,0172
CG31808	1,93164	5,00E-05
Cyp6a23	1,93121	5,00E-05
CG17032	1,93094	0,00405
Xrp1	1,92933	5,00E-05
Hk	1,92674	5,00E-05
CG10339	1,92499	0,0212
Tsf1	1,92475	5,00E-05
CG7059	1,92381	0,00375
Spn28Dc	1,92171	0,0029
l(3)neo38	1,92113	0,00015
CG32694	1,92006	5,00E-05
sim	1,91949	0,00925
mirr	1,91826	0,00235
Ef1alpha100E	1,91794	5,00E-05
toe	1,91752	0,00665
robo1	1,91631	0,00145
MtnE	1,91596	5,00E-05
CG14195	1,91564	0,0031
CG34347	1,91556	0,0005
Mal-A6	1,90984	5,00E-05
Mgat2	1,90829	0,0002
GluRIIC	1,90824	0,02035
CG8012	1,90798	0,01365
CG11426	1,9055	0,00065
CG14687	1,90491	0,00015
CG15822	1,90462	0,0015
ps	1,90369	5,00E-05
rols	1,90358	0,0003
Rh5	1,90345	5,00E-05
Esyt2	1,90324	5,00E-05
Pkc53E	1,9032	5,00E-05
CG5527	1,90042	0,00755
CG6465	1,89942	0,00105
CG11951	1,8978	0,0136
CG5375	1,89689	0,003
yellow-f2	1,89524	0,0036
PH4alphaEFB	1,89432	0,00045
tn	1,89359	5,00E-05
sff	1,89324	0,00015
CG42390	1,89094	5,00E-05
CG17321	1,89091	0,0051
CG8093	1,89083	0,0062
Fmo-2	1,89014	5,00E-05
Cyp6a20	1,88995	5,00E-05
Obp99c	1,88983	5,00E-05
CG43102	1,8894	5,00E-05
wb	1,88901	0,00185
kar	1,88858	5,00E-05
wgn	1,88765	5,00E-05
TpnC47D	1,88609	0,00535
CG44085	1,88565	5,00E-05
Mur18B	1,88492	5,00E-05
Pka-C3	1,88469	5,00E-05
Gnmt	1,8846	5,00E-05
CG13252	1,88286	0,0001
CG4781	1,8825	0,0052
CG43861	1,88212	0,0213
CG17636	1,87974	0,0014
uif	1,87957	0,0002
Tsp29Fa	1,87849	0,00015
Tep2	1,87846	5,00E-05
jp	1,87841	5,00E-05
CG1143	1,87808	0,0048
Ance	1,8778	5,00E-05
Gli	1,87731	0,0004
CG5002	1,87691	0,0005
18w	1,87646	0,00135
CG30424	1,87621	0,0133
Atg18b	1,87456	0,0042
dac	1,87403	0,0057
Myo61F	1,87388	5,00E-05
nahoda	1,8725	5,00E-05
CG14964	1,87244	5,00E-05
CG3191	1,8722	0,00495
pot	1,87215	5,00E-05
MFS14	1,87173	5,00E-05
Unc-115a,Unc-115b	1,87169	5,00E-05
CG18095	1,86875	0,013
CG10947	1,86724	0,00635
ST6Gal	1,86718	0,0115
pdm2	1,86672	0,01705
Gasp	1,86666	0,0041
tup	1,86562	0,00505
CG32633	1,86525	0,00075
MRE23	1,86383	0,00565
CG12239	1,86313	5,00E-05
CG44250,CG44251	1,86291	5,00E-05
CRMP	1,86278	5,00E-05
CG45057	1,86203	0,0003
alpha-Est9	1,8606	5,00E-05
CG11149	1,85836	0,01475
CG4019	1,85786	5,00E-05
pdm3	1,85758	0,0023
dnr1	1,8575	5,00E-05
CG13091	1,85695	0,00595
Smvt	1,85692	5,00E-05
gbb	1,85682	0,0006
Frq2	1,85323	5,00E-05
eag	1,85208	0,00025
CG17752	1,85174	0,00175
CR45281	1,85123	0,00435
CG10660	1,85014	0,0086
CG1572	1,84574	5,00E-05
CG10253	1,84486	0,0077
CG17350	1,84461	0,0196
Amy-d	1,84271	5,00E-05
Nha2	1,84233	0,0003
Sp1	1,84165	0,0012
by	1,8408	5,00E-05
CG10362	1,8406	0,0012
Galphas	1,84039	5,00E-05
Mhc	1,84024	5,00E-05
Cyp28a5	1,84021	0,00045
Piezo	1,83985	5,00E-05
pigs	1,83928	5,00E-05
Cpr67B	1,83642	5,00E-05
AdamTS-A	1,83372	0,0001
Pph13	1,83359	0,0058
Gpo-1	1,83352	5,00E-05
dve	1,8333	0,0036
CG16713,CG43165	1,8327	0,00125
scaf	1,83157	5,00E-05
CG10513	1,83079	5,00E-05
jbug	1,83072	5,00E-05
CG45076,CG45078,fau	1,83056	5,00E-05
Dat	1,82927	5,00E-05
Peritrophin-15a	1,82905	5,00E-05
AQP	1,82805	0,00035
CG44008	1,82789	0,0076
CG17839	1,82668	5,00E-05
CG30069	1,82404	5,00E-05
hdly	1,8225	0,0016
dati	1,82066	0,0008
CG18675,tipE	1,81664	0,01955
alphaTry	1,81624	5,00E-05
Npc2f	1,81562	0,02065
CG13937	1,81536	0,0018
Ptp36E	1,81474	0,00075
Cpr47Ef	1,81427	0,019
CG7084	1,81374	5,00E-05
CG5835	1,81319	0,00125
CG13360	1,81279	0,0046
CG1136	1,81157	0,00115
PGRP-SC2	1,80974	5,00E-05
p130CAS	1,80764	5,00E-05
CG13659	1,80749	0,0087
nrv2	1,80725	5,00E-05
cv-c	1,80665	5,00E-05
Tsp42Ei	1,80576	0,00015
CG9743	1,80515	0,00025
Sox14	1,80487	0,0192
HP1D3csd,Mec2	1,80405	0,00045
sda	1,80179	5,00E-05
sNPF-R	1,80138	0,0068
Lgr1	1,80041	0,0073
CG9674	1,80012	5,00E-05
CG42566	1,79944	0,02175
CG42340	1,79826	0,01455
if	1,7973	5,00E-05
CG42329	1,79714	0,00165
frac	1,79694	0,00195
mthl15	1,79691	0,00735
GABA-B-R3	1,79686	0,0014
CG8834	1,79669	0,0026
CG9691	1,79588	5,00E-05
per	1,79435	5,00E-05
CG32647	1,79427	0,0059
ade3	1,79217	5,00E-05
tai	1,79001	5,00E-05
Dfd	1,78997	0,00465
Cyp12e1	1,78991	0,0063
CG18507	1,78905	0,0006
mbl	1,78858	5,00E-05
CG31248	1,78848	0,01225
metro	1,78824	0,00315
CG5346	1,78732	0,00025
tau	1,78651	5,00E-05
St3	1,78483	0,02
cv-d	1,78362	0,0002
Rfabg	1,78348	5,00E-05
Oscillin	1,78294	0,00205
CG4363	1,7828	0,0005
lambdaTry	1,78202	0,0081
CG13177	1,78198	0,01685
cora	1,78172	5,00E-05
Fie	1,78126	0,02205
CG43348	1,77995	0,01005
CG32023	1,77964	0,00105
Hml	1,77865	0,00075
ogre	1,77848	5,00E-05
disco-r	1,77822	0,0031
Orct2	1,77779	0,00805
CG12224	1,77428	0,00495
Liprin-gamma	1,77266	5,00E-05
mex1	1,77056	0,00355
CG5921	1,76972	0,00615
peb	1,76909	0,00095
Ptp52F	1,76842	0,0078
CG12912,Hr46	1,76583	0,0017
ckn	1,76438	5,00E-05
CG31199	1,76193	0,00745
CG11400	1,76169	0,00075
PGRP-SA	1,76068	0,0097
CG5059	1,76024	5,00E-05
Tsp29Fb	1,75994	5,00E-05
CG42326	1,7589	0,0082
CG1673	1,75855	5,00E-05
SclA,SclB	1,75806	5,00E-05
Cyp9b2	1,75693	5,00E-05
dpr7	1,75618	0,00335
up	1,75546	5,00E-05
sano	1,75435	0,0021
CG1698	1,75419	0,0127
alpha-Est8	1,75408	0,00015
abd-A	1,75388	0,0016
CG15186	1,75232	0,0015
Tm2	1,75183	5,00E-05
CG2641	1,75118	0,0092
SP1173	1,74949	5,00E-05
Oatp74D	1,74889	0,0025
Mal-A1	1,74455	5,00E-05
CG33203	1,7445	0,0012
Thor	1,74426	5,00E-05
shot	1,74421	5,00E-05
Damm	1,74259	0,0071
CG10514	1,7402	5,00E-05
CG9270	1,73936	0,0095
CG17244	1,73832	0,0079
Mf	1,73793	5,00E-05
knrl	1,73767	0,0063
CAH1	1,73631	5,00E-05
grh	1,7353	0,0039
Oatp58Dc	1,73177	5,00E-05
CG9631	1,73128	0,0059
CG31743,CG34313	1,73033	5,00E-05
Cyp6a14	1,73031	0,0068
Lim3	1,72981	0,0218
CG9413	1,72971	5,00E-05
Scr	1,72873	0,02095
CG43074	1,72868	5,00E-05
CG3987	1,72587	0,0224
LManI	1,72245	0,0218
Ziz	1,72214	5,00E-05
CG6231	1,72091	0,00055
TrissinR	1,72084	0,0023
nrm	1,72044	5,00E-05
CG6426	1,72007	0,0003
CG13794	1,71823	0,00735
CS-2	1,71814	0,0002
CG17739	1,71733	5,00E-05
Mal-A8	1,71682	0,00675
CG40498	1,71634	5,00E-05
GluClalpha	1,71618	5,00E-05
CG32407	1,71576	0,00985
CR44922	1,71575	0,0005
tsh	1,71525	0,00065
betaTub60D	1,71262	0,00035
mfas	1,71028	5,00E-05
NAAT1	1,70918	5,00E-05
CG10175	1,70819	0,0175
kappaTry	1,70785	0,0026
CG9747	1,70628	0,00155
CG7759	1,70543	0,01095
comm2	1,70497	0,0078
CG16779	1,70479	5,00E-05
Vha36-3	1,70473	0,00015
CG8740	1,70438	5,00E-05
IP3K2	1,70399	5,00E-05
Gs2	1,70353	5,00E-05
CG7900	1,70339	0,00085
CG9568	1,70234	0,00095
dpp	1,70205	0,0114
CG31690	1,70136	0,00965
Tsp	1,69973	5,00E-05
Capa	1,69706	0,0005
CG17560	1,69585	5,00E-05
CG17278	1,69563	0,0014
Mp20	1,69536	5,00E-05
CG9498	1,69476	5,00E-05
CG42238	1,69469	0,0003
CG42697,GEFmeso	1,69466	0,0001
Vmat	1,69424	0,0002
Dh31-R	1,6926	0,00045
Zasp66	1,69138	0,0018
Fatp	1,69104	5,00E-05
CG32982	1,69099	0,001
Ag5r2	1,69072	0,00975
CG15203	1,68889	0,01445
CG17352	1,68839	5,00E-05
CG31676	1,68813	0,00155
Ac78C	1,68727	0,0084
CG10970,CG44325	1,68653	5,00E-05
Irk2	1,68591	5,00E-05
hid	1,68511	0,00355
Nplp2	1,68485	5,00E-05
vri	1,68244	5,00E-05
Cubn	1,68223	0,0003
CCHa2	1,68214	0,00215
Ugt86Dd	1,68069	0,00025
CG18067	1,67844	5,00E-05
CG15152	1,6784	0,0122
alpha-catenin-related	1,6781	0,01035
CG6225	1,67771	0,0012
Phae1	1,67743	0,01195
CG3332	1,67569	0,00305
grass	1,67492	0,00325
CG33301	1,67464	0,00105
emp	1,67277	5,00E-05
CG15279	1,67266	0,00165
CG5639	1,67251	0,01205
pan	1,67223	5,00E-05
CG5399	1,67056	5,00E-05
IM33	1,66805	5,00E-05
CG17378	1,66766	0,00735
Swim	1,66679	0,0023
TpnC73F	1,66546	5,00E-05
PICK1	1,66544	0,01575
alpha-Est7	1,66433	5,00E-05
PKD	1,66253	0,00165
yuri	1,66154	0,0058
CG9170	1,66116	5,00E-05
CG17549	1,66108	5,00E-05
CG8837	1,66013	0,0087
CG5966	1,65833	5,00E-05
CG10911	1,65615	5,00E-05
CG34284	1,65589	0,00125
CG10178	1,65458	0,00985
Dif	1,65436	0,0056
CG10359	1,65341	0,0189
mthl8	1,6524	0,0001
CG5577	1,65155	0,0045
LManII	1,65137	5,00E-05
CG11155	1,64875	5,00E-05
CG8586	1,6482	0,002
CG33978	1,64744	0,00095
CG1998	1,64637	0,00385
CG1441	1,64358	0,01095
CG15661	1,64213	0,0017
Lmpt	1,64005	5,00E-05
Snoo	1,63956	0,0006
Cyp18a1	1,639	0,00285
Mco1	1,63763	0,0105
FucTC	1,63658	0,01675
CG15067	1,63627	0,00635
CG8306	1,63552	0,00025
nemy	1,63548	0,0016
CG43740	1,63527	0,0046
beta-Spec	1,63425	5,00E-05
CG17121	1,6342	0,0004
GstD2	1,63312	0,0191
sm	1,63186	0,00115
lbm	1,63135	0,0122
Mlp84B	1,63072	0,00155
Ca-alpha1D	1,62997	5,00E-05
CG30345	1,62981	0,004
Spn47C	1,62878	0,0021
CG3505	1,6287	0,00455
CG13658	1,62324	0,01715
CG5697	1,62178	0,00245
CG17386	1,62005	0,0113
twit	1,6191	0,01825
Act87E	1,61874	5,00E-05
niki	1,61869	0,01555
CG16772	1,61853	5,00E-05
Tie	1,61825	0,0011
CG31675,CG9338	1,61808	5,00E-05
Gadd45	1,61768	0,0003
CG31659,NLaz	1,6172	5,00E-05
CG31104	1,61441	0,0128
kon	1,61077	0,0085
CR44832	1,6089	0,0151
AcCoAS	1,60884	5,00E-05
Nmdmc	1,60865	0,0088
Send1	1,60818	0,00295
Pdp1	1,60747	5,00E-05
CG9119	1,6056	0,00025
CG8925	1,60523	0,0125
CG4847	1,60437	0,0001
CG10026	1,60372	0,01185
CG3597	1,60337	0,0049
CG12194	1,60306	0,00055
CG31145	1,60286	5,00E-05
5-HT2A	1,60258	0,00545
Cyp12a4	1,60191	5,00E-05
Gbp	1,60094	0,0123
CG33110	1,60032	5,00E-05
CG8630	1,59979	0,00365
Obp99a	1,59912	0,0109
pio	1,59901	5,00E-05
CG33099	1,59784	0,0163
Orct	1,59754	0,0075
RIC-3	1,59734	5,00E-05
PGRP-LB	1,5963	0,0154
CG14694	1,59485	0,0136
PIP82	1,59461	0,022
CG42833	1,59416	0,021
CG34166	1,59328	0,0002
Gpb5	1,59305	0,0206
CG13905	1,59304	0,00175
CG9259	1,59256	0,0002
CG42521	1,59248	0,004
CG6836	1,59241	0,01655
comt	1,59057	5,00E-05
CG11878	1,58964	5,00E-05
CG18404	1,58847	0,00495
Mlc2	1,58818	5,00E-05
CLIP-190	1,58675	5,00E-05
CG4297	1,58662	0,00095
Dbi	1,58466	5,00E-05
CG4377	1,58362	0,00625
CG9993	1,58313	0,0152
wit	1,58269	0,0003
CG2065	1,58233	0,0039
Uhg1	1,58198	0,01385
CG16836	1,58142	0,0145
CG12814	1,58105	0,0003
CG7675	1,58103	0,0006
pHCl	1,58047	5,00E-05
CG9416	1,5803	0,0012
CG8303	1,5782	0,014
RhoL	1,5758	5,00E-05
CG15422	1,57488	0,0053
Tmhs	1,57472	0,01535
CG15529	1,57414	0,00615
CG13313	1,57411	0,01675
PIP5K59B	1,57287	0,0082
CG42319	1,57182	0,0001
CG7778	1,57159	5,00E-05
CG34232	1,57099	0,0147
MtnD	1,56858	0,00015
NijA	1,56819	0,00945
lbl	1,56797	0,0217
CG13318	1,56793	0,0157
Spn42Dc,Spn42Dd	1,56604	0,0051
CG6908	1,5621	0,00225
CG6484	1,56151	0,00075
Atf3	1,56091	5,00E-05
CG9098	1,56081	0,01575
CG7497	1,5607	0,0155
CG5167	1,56034	5,00E-05
Rh6	1,55921	5,00E-05
CG3604	1,55909	0,0174
RyR	1,55759	5,00E-05
NfI	1,55742	5,00E-05
wat	1,55396	0,0001
CG10562	1,55383	0,00435
CG13704	1,55201	0,00045
Decay	1,55133	0,00085
CG8008	1,55081	0,00075
IM3	1,5504	5,00E-05
CG3907	1,54898	5,00E-05
Cyp6a21	1,54897	0,01735
CG17855	1,54667	0,0156
Ser12	1,54667	0,0003
CG4797	1,54622	0,002
CG15347	1,54543	5,00E-05
Gbeta5	1,54457	0,00585
CG11619	1,54364	0,0145
CG31106	1,54233	0,0003
CG30203	1,54072	0,01395
Tsp42Ed	1,53899	5,00E-05
CG3835	1,53815	5,00E-05
CG4213	1,53704	0,00115
CG10550	1,53628	0,0001
eloF	1,53625	0,00055
CG31373	1,53536	5,00E-05
CG2017	1,53472	0,00015
net	1,53393	0,0206
CG34176	1,53385	0,01675
slo	1,53211	5,00E-05
CG12730	1,53161	0,0073
Cyp12c1	1,52849	0,01565
CG43689	1,52807	0,0084
hui	1,52709	0,0061
CG11889,CG11891	1,52623	5,00E-05
dao	1,52591	0,00305
sls	1,52455	5,00E-05
kay	1,52398	5,00E-05
Cad86C	1,52206	0,00475
tsl	1,52171	0,00595
CG13506	1,52036	5,00E-05
drm	1,52013	0,00525
ATP8B	1,51861	0,0001
CG13124	1,51853	5,00E-05
CG4660	1,51791	0,0145
CG10737	1,51402	5,00E-05
Mlc1	1,51352	5,00E-05
CG7296	1,5121	0,017
Idgf3	1,5114	5,00E-05
CG10211	1,51084	0,0053
Argk	1,51017	5,00E-05
CG14441	1,51006	0,0004
CG14968	1,50929	0,0144
CG18622	1,50794	0,01735
CG14949	1,50681	0,0016
bdl	1,50455	5,00E-05
Vm26Aa	1,5044	5,00E-05
CG13284	1,50318	0,0024
Ag5r	1,50285	5,00E-05
CG15673	1,50199	0,0067
FASN3	1,49941	5,00E-05
CG33970	1,49913	0,0005
MP1	1,49899	0,01685
CG15412	1,49869	0,00255
CG3625	1,49856	5,00E-05
laza	1,49758	0,00075
Ser7	1,49602	0,00605
CG33258	1,49588	5,00E-05
CG12581	1,49483	5,00E-05
CG18136	1,49384	0,01965
Vm26Ab	1,49312	5,00E-05
CG7589	1,49312	0,00415
Ca-beta	1,49267	0,00445
Tsp2A	1,49264	0,0089
beat-Ib	1,4924	0,0223
vir-1	1,49148	5,00E-05
CG5397	1,49135	0,00285
Ssk	1,49041	0,01255
CG2121	1,4903	0,0035
CG11453	1,49002	0,01785
GNBP2	1,48905	0,00745
CR43470	1,48695	0,0222
kek1	1,4865	0,0019
CG43693	1,48373	5,00E-05
CG3301	1,48294	0,0054
betaTry	1,4819	5,00E-05
Gld	1,48173	0,00995
Cadps	1,47796	5,00E-05
CG32137	1,47787	0,00095
Alp4	1,477	5,00E-05
CG18304	1,4766	5,00E-05
CG8353,CG8360	1,47363	0,00145
Eip75B	1,47275	5,00E-05
RhoGAP102A	1,47194	0,00055
CG9990	1,47052	5,00E-05
Obp49a	1,47011	0,00745
GstO3	1,4701	5,00E-05
lz	1,46952	0,01825
CG5597	1,46939	0,00385
Inx7	1,46846	0,0099
CG4839	1,46831	0,0049
AOX1	1,46695	5,00E-05
Drip	1,46626	0,00065
CG31038	1,46605	5,00E-05
sas	1,46542	0,0113
ine	1,46509	0,00285
Best2	1,46493	0,0003
Orcokinin	1,46348	0,0028
ACXD	1,4592	0,01075
CG43112	1,45892	0,0212
ph-p	1,45682	0,0003
Esp	1,45543	0,0038
Ude	1,45468	0,00285
CG12991,CG12992	1,45241	0,00045
Tep3	1,44967	0,002
CG30269	1,44919	0,00285
MtnC	1,44612	5,00E-05
CG31769	1,44521	0,00455
CG7882	1,44491	5,00E-05
CG11378	1,44366	0,00835
CG4250	1,44294	0,0012
Ect4	1,44223	5,00E-05
CR31781	1,44197	5,00E-05
Khc-73	1,4418	5,00E-05
Rbp9	1,44176	0,01335
CG5804	1,44035	0,0031
CG14022	1,43764	0,00635
CG15628	1,43644	5,00E-05
CG34398	1,43644	5,00E-05
CG7300	1,43538	5,00E-05
Act79B	1,43519	5,00E-05
CG6503	1,43496	5,00E-05
CG12338	1,43482	0,00465
CG9864	1,43445	0,0019
Myo10A	1,43373	0,00355
GV1	1,43074	0,0102
Jon65Aiii	1,43057	5,00E-05
CG7378	1,43055	5,00E-05
Obp56e	1,42982	0,0053
Npc2b	1,42681	5,00E-05
boss	1,42452	0,0109
CG32082	1,42347	5,00E-05
CG44013,CG44014	1,42204	0,0062
CrebA	1,41936	0,00495
r	1,41809	5,00E-05
dsb	1,41748	0,0144
GstE3	1,41722	0,001
CG43921	1,41606	0,00025
Unc-89	1,41577	5,00E-05
lcs	1,41394	5,00E-05
CG17928	1,41287	0,00645
tadr	1,41275	0,00415
CG9297	1,4127	5,00E-05
CG5455	1,41221	5,00E-05
cwo	1,4119	5,00E-05
CG18480	1,4104	0,0095
Adgf-A,Adgf-A2	1,40779	0,00025
CG5390	1,4068	0,001
CG11407	1,40589	0,0117
Nha1	1,40559	0,0023
CG31522	1,40441	5,00E-05
CG1299	1,4011	0,00215
CG5011	1,39973	0,00745
Nc73EF	1,39897	5,00E-05
CG9812	1,39834	5,00E-05
tmod	1,39799	5,00E-05
Amy-p	1,39547	5,00E-05
CG5177	1,39364	0,01555
Pex6	1,39355	0,002
CG5107	1,39228	5,00E-05
CG15556	1,39165	0,0172
RhoGAP16F	1,39163	0,00585
CG5506	1,38813	5,00E-05
CAP,CG12910	1,38655	5,00E-05
CG6656	1,38553	0,0036
Strn-Mlck	1,38513	5,00E-05
Uhg2,snoRNA:Me18S-A1576	1,38385	0,00465
CG13631	1,38373	0,00025
MtnA	1,38269	5,00E-05
FER	1,38205	5,00E-05
CG15611	1,38179	0,00105
CG43729	1,37981	5,00E-05
CG9886	1,37852	0,01155
Faa	1,37758	0,01125
Hsromega	1,37752	5,00E-05
CG34212	1,37584	5,00E-05
CG5023	1,37367	5,00E-05
Obp56d	1,37056	5,00E-05
CG14439	1,36987	0,0134
CG30026	1,36767	0,01415
CG15155	1,36463	0,0058
CG4461	1,3643	5,00E-05
RhoGEF64C	1,36124	0,01935
Kank	1,36044	5,00E-05
Gr98a	1,36031	0,00555
wdp	1,3589	5,00E-05
ClC-a	1,35866	5,00E-05
CG17265	1,35637	0,0061
Sobp	1,35447	0,0009
Tep4	1,35367	0,00095
CG30056,fra	1,3503	0,0001
CG11658	1,34964	0,00045
msta	1,34962	0,01
CG12119	1,34904	5,00E-05
CG11168	1,34834	0,0007
CG2225	1,34805	0,00035
CG9090	1,34631	5,00E-05
CG6409	1,34514	5,00E-05
CG12065	1,34384	0,00015
CG5001	1,34231	5,00E-05
CG34417	1,34118	5,00E-05
CG10126	1,34055	0,00085
bt	1,3401	5,00E-05
CG43427	1,33664	5,00E-05
CG13510,CG13511,CG42565	1,33564	0,0002
CG3091	1,33316	0,016
CG11044	1,33163	0,00175
TpnC41C	1,32887	0,00015
CG34325	1,327	0,0029
Buffy	1,32668	0,01325
CG9150	1,3255	0,01475
Tsp42El	1,3231	0,00975
CG4434,pnt	1,32211	0,00135
l(2)efl	1,32185	5,00E-05
GstE10	1,32078	0,00355
CG42394	1,31802	0,01355
lft	1,31722	0,016
RluA-1	1,31411	0,0026
CR43787	1,31254	0,00025
kst	1,31127	5,00E-05
CG14292	1,31003	5,00E-05
Nrg	1,30997	5,00E-05
Sap47	1,30924	5,00E-05
CG6421	1,30879	0,0076
GNBP1	1,30863	0,0142
CG12717,ade5	1,30669	5,00E-05
CG2254	1,30666	0,00015
CG3823	1,30504	0,0058
CG17110,CG6726	1,30336	5,00E-05
CG32809	1,302	0,00015
CG11892	1,30101	5,00E-05
CG9717	1,29854	0,0018
CR44509	1,29564	0,0009
CG1461	1,29487	0,00015
wupA	1,29292	5,00E-05
CG13117	1,28751	0,01955
CG15247	1,28705	0,00105
Zasp52	1,28555	0,0002
